iter	RMSE
504	1.230012754
505	1.229399118
506	1.228950464
507	1.226721278
508	1.225736049
509	1.225044951
510	1.223513725
511	1.222715513
512	1.221195535
513	1.22085911
514	1.220261931
515	1.21886387
516	1.217455074
517	1.216121307
518	1.214186194
519	1.21289972
520	1.211522946
521	1.210655444
522	1.20971873
523	1.208876778
524	1.207679509
525	1.206446988
526	1.205405176
527	1.204904847
528	1.204320102
529	1.202778963
530	1.200436914
531	1.199328867
532	1.197809102
533	1.195853213
534	1.194837432
535	1.193974684
536	1.192714016
537	1.190905047
538	1.189977744
539	1.188285146
540	1.187471971
541	1.18662316
542	1.18516947
543	1.184771701
544	1.183833166
545	1.183420101
546	1.182846684
547	1.18165332
548	1.180559577
549	1.179443005
550	1.178433601
551	1.178231892
552	1.177331839
553	1.176907352
554	1.176365589
555	1.175725503
556	1.174045895
557	1.173092635
558	1.172596428
559	1.170694901
560	1.170124484
561	1.1691441
562	1.168545373
563	1.167885214
564	1.167054674
565	1.165016898
566	1.164708186
567	1.163788961
568	1.163267955
569	1.161218196
570	1.160463597
571	1.158957852
572	1.15774715
573	1.155551237
574	1.154944156
575	1.154740805
576	1.154459277
577	1.153997711
578	1.153639658
579	1.15322878
580	1.152473932
581	1.150265296
582	1.149523364
583	1.148699685
584	1.147559281
585	1.147072438
586	1.146828787
587	1.145223366
588	1.144087162
589	1.142894022
590	1.142371885
591	1.141129714
592	1.140792002
593	1.140069711
594	1.139640331
595	1.139016403
596	1.137980594
597	1.137267986
598	1.135971337
599	1.134959063
600	1.133597449
601	1.132681302
602	1.132338426
603	1.130825968
604	1.130690832
605	1.12972909
606	1.129168859
607	1.128225686
608	1.126508472
609	1.126400509
610	1.125531869
611	1.124435592
612	1.123100306
613	1.1212756
614	1.120094033
615	1.11931386
616	1.118211766
617	1.116525458
618	1.114911906
619	1.113519064
620	1.113010813
621	1.111939034
622	1.11103304
623	1.109799036
624	1.109321946
625	1.107766016
626	1.107392869
627	1.105957094
628	1.105695108
629	1.10418709
630	1.10217575
631	1.100355085
632	1.0995897
633	1.098812987
634	1.097119138
635	1.095837513
636	1.094968302
637	1.094209518
638	1.093547913
639	1.092110759
640	1.091901629
641	1.090903389
642	1.089721369
643	1.08800562
644	1.087837253
645	1.087552386
646	1.086568421
647	1.08602371
648	1.085745727
649	1.084864334
650	1.084083141
651	1.08327404
652	1.082461195
653	1.082271621
654	1.081344799
655	1.080326276
656	1.078877763
657	1.077773405
658	1.07721893
659	1.076310186
660	1.075798727
661	1.075197739
662	1.074261571
663	1.073327661
664	1.072587107
665	1.071848316
666	1.071427719
667	1.070736599
668	1.069592558
669	1.0692211
670	1.0686848
671	1.06783434
672	1.067493393
673	1.065488186
674	1.064573049
675	1.063852563
676	1.06278299
677	1.062549919
678	1.061884028
679	1.061279303
680	1.060734505
681	1.060243158
682	1.059307323
683	1.058267502
684	1.057857321
685	1.057273345
686	1.057066146
687	1.056648859
688	1.056250816
689	1.055239461
690	1.054622514
691	1.054250538
692	1.053375002
693	1.052913724
694	1.051179847
695	1.051117261
696	1.049840606
697	1.048491883
698	1.047081001
699	1.045824238
700	1.045039053
701	1.044690626
702	1.043906945
703	1.043733258
704	1.043311675
705	1.041997786
706	1.04111007
707	1.040479008
708	1.039784999
709	1.039164496
710	1.038800796
711	1.038300724
712	1.037719013
713	1.037279088
714	1.036285119
715	1.035158688
716	1.03456752
717	1.034401737
718	1.033719845
719	1.032224057
720	1.030979913
721	1.030774849
722	1.030091828
723	1.029220634
724	1.027257683
725	1.026549505
726	1.025646775
727	1.02453224
728	1.023436419
729	1.022319913
730	1.021802038
731	1.021410448
732	1.020947867
733	1.02007397
734	1.019849709
735	1.018847836
736	1.018368842
737	1.017992994
738	1.017495277
739	1.016745158
740	1.015512364
741	1.014988121
742	1.014021518
743	1.013233404
744	1.012669649
745	1.012151532
746	1.01171152
747	1.011120158
748	1.010506121
749	1.009957068
750	1.009343223
751	1.009099652
752	1.008428241
753	1.007974756
754	1.007362061
755	1.006501022
756	1.005724359
757	1.005103571
758	1.003586256
759	1.002776254
760	1.002333521
761	1.001453448
762	1.00010675
763	0.9994604117
764	0.9987953406
765	0.9983580104
766	0.9981475561
767	0.996799464
768	0.9961810155
769	0.9953276622
770	0.9943441566
771	0.9938965742
772	0.9926666856
773	0.9919075945
774	0.991358562
775	0.9906104008
776	0.9886453835
777	0.9877627058
778	0.9875937947
779	0.9862377658
780	0.9856803
781	0.9850063855
782	0.9843049422
783	0.9837825547
784	0.983091453
785	0.9825476391
786	0.9818242677
787	0.9814275541
788	0.980619161
789	0.9803264286
790	0.9795437367
791	0.9790650751
792	0.9784678416
793	0.977181008
794	0.977027606
795	0.9769866589
796	0.9762151728
797	0.9753489202
798	0.9749254154
799	0.9744262107
800	0.974210779
801	0.9740779196
802	0.9731328607
803	0.9724764861
804	0.9717412001
805	0.9716643767
806	0.9712156467
807	0.970675101
808	0.9705679401
809	0.9694555263
810	0.9685397345
811	0.9680458776
812	0.9672895034
813	0.9661466442
814	0.9656653147
815	0.965091094
816	0.9641714267
817	0.9635646837
818	0.9624360567
819	0.9617652807
820	0.961309217
821	0.9609251541
822	0.9600427539
823	0.9595738209
824	0.9589022806
825	0.9580959099
826	0.9576168729
827	0.9570076908
828	0.9561211647
829	0.955453705
830	0.9546536421
831	0.9538690605
832	0.9524189784
833	0.9518426727
834	0.9517868541
835	0.9517042169
836	0.9512177893
837	0.9496920542
838	0.9486359298
839	0.9473702501
840	0.9468584921
841	0.9462362331
842	0.9455738677
843	0.9452219026
844	0.9445687717
845	0.9435900324
846	0.9428094483
847	0.9422319321
848	0.941901097
849	0.9412670299
850	0.9407941385
851	0.9404143418
852	0.9402000462
853	0.9398385177
854	0.9390903488
